source_page,source_column,source_store_area_sqm,source_open_year,source_open_month,source_name,corrected_name,corrected_prefecture,corrected_municipality,corrected_open_year,corrected_open_month,address,notes
13,right,4350.0,2005.0,9.0,,ピアゴ ラ フーズコア三河安城店,愛知県,安城市,2005.0,9.0,愛知県安城市三河安城南町1丁目4-8,google_maps_partial_name_match_preferred; corrected_ocr_name_ビアゴラ_to_ピアゴラ; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
20,right,4340.0,1978.0,8.0,,アピアさつき,高知県,四万十市,1978.0,8.0,高知県四万十市右山五月町8-13,google_maps_partial_name_match_preferred; corrected_ocr_name_アビア_to_アピア; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
7,right,4337.0,1935.0,11.0,,ビーンズ阿佐ヶ谷,東京都,杉並区,1935.0,11.0,東京都杉並区阿佐谷南3丁目36-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
15,right,4322.0,1990.0,3.0,,コムズガーデン,大阪府,大阪市都島区,1990.0,3.0,大阪府大阪市都島区東野田町2丁目6-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
6,left,4270.0,2017.0,7.0,,LEVENおおたかの森(レヴンおおたかの森),千葉県,流山市,2017.0,7.0,千葉県流山市おおたかの森西1丁目15-3,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
17,left,4267.0,2000.0,4.0,,グルメシティ小束山店,兵庫県,神戸市垂水区,2000.0,4.0,兵庫県神戸市垂水区小束山本町3丁目1-2,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
9,right,4255.0,2008.0,5.0,,foodium武蔵小杉(フーディアム武蔵小杉),神奈川県,川崎市中原区,2008.0,5.0,神奈川県川崎市中原区新丸子東3丁目1100-14,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
7,right,4243.0,1987.0,10.0,,MAGNET by SHIBUYA109,東京都,渋谷区,1987.0,10.0,東京都渋谷区神南1丁目23-10,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
6,right,4200.0,2013.0,4.0,,WATERRAS MALL(ワテラスモール),東京都,千代田区,2013.0,4.0,東京都千代田区神田淡路町2丁目101,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
5,right,4231.0,2024.0,9.0,,ヤオコー東松山新宿町店,埼玉県,東松山市,2024.0,9.0,埼玉県東松山市新宿町17-1,google_maps_partial_name_match_preferred; corrected_ocr_name_to_ヤオコー東松山新宿町店; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
5,left,4202.0,2020.0,3.0,,EQUiA PREMIE 和光(エキア プレミエ 和光),埼玉県,和光市,2020.0,3.0,埼玉県和光市本町4-6,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
18,right,4200.0,1978.0,10.0,,シャミネ松江,島根県,松江市,1978.0,10.0,島根県松江市朝日町472-2,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
9,right,4176.0,2019.0,4.0,,ライズモール戸塚,神奈川県,横浜市戸塚区,2019.0,4.0,神奈川県横浜市戸塚区戸塚町1313-4,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
5,left,4168.0,2011.0,6.0,,エミオ狭山市,埼玉県,狭山市,2011.0,6.0,埼玉県狭山市祇園4-55,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
20,left,4158.0,2011.0,3.0,,フジ新居浜駅前店,愛媛県,新居浜市,2011.0,3.0,愛媛県新居浜市坂井町2丁目3-8,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
